cell_id,task,condition,run_idx,phase,model_short_name,persona_or_neutral,model_id_used,used_fallback,attempts,latency_ms,timestamp_iso,prompt_tokens,completion_tokens,cost_usd
A_N_run1,A,N,1,phase1_freeresponse,M1,neutral,anthropic/claude-opus-4.7,False,1,21771,2026-05-20T16:06:45.792840,573,754,0.021715
A_N_run1,A,N,1,phase1_freeresponse,M2,neutral,openai/gpt-5.5,False,1,11545,2026-05-20T16:07:07.573053,352,455,0.01541
A_N_run1,A,N,1,phase1_freeresponse,M3,neutral,google/gemini-3.1-pro-preview,False,1,16588,2026-05-20T16:07:19.127452,363,1557,0.01941
A_N_run1,A,N,1,phase1_freeresponse,M4,neutral,deepseek/deepseek-v4-pro,False,1,14443,2026-05-20T16:07:35.726895,346,528,0.00060987
A_N_run1,A,N,1,phase1_freeresponse,M5,neutral,moonshotai/kimi-k2.6,False,1,12381,2026-05-20T16:07:50.208574,357,2521,0.0090589
A_N_run1,A,N,1,phase3_constructs,M1,neutral,anthropic/claude-opus-4.7,False,1,9133,2026-05-20T16:08:02.641436,1053,165,0.00939
A_N_run1,A,N,1,phase3_constructs,M2,neutral,openai/gpt-5.5,False,1,6635,2026-05-20T16:08:11.798179,666,269,0.0114
A_N_run1,A,N,1,phase3_constructs,M3,neutral,google/gemini-3.1-pro-preview,False,1,20444,2026-05-20T16:08:18.449525,686,1996,0.025324
A_N_run1,A,N,1,phase3_constructs,M4,neutral,deepseek/deepseek-v4-pro,False,1,100102,2026-05-20T16:08:38.912929,670,2897,0.00281184
A_N_run1,A,N,1,phase3_constructs,M5,neutral,moonshotai/kimi-k2.5,True,4,214346,2026-05-20T16:10:19.032377,674,8089,0.0156387
A_N_run1,A,N,1,phase4_ratings,M1,neutral,anthropic/claude-opus-4.7,False,1,7346,2026-05-20T16:19:42.257668,1816,783,0.028655000000000003
A_N_run1,A,N,1,phase4_ratings,M2,neutral,openai/gpt-5.5,False,1,38217,2026-05-20T16:19:49.631508,1150,2376,0.07703
A_N_run1,A,N,1,phase4_ratings,M3,neutral,google/gemini-3.1-pro-preview,False,1,22303,2026-05-20T16:20:27.865356,1212,2496,0.032376
A_N_run1,A,N,1,phase4_ratings,M4,neutral,deepseek/deepseek-v4-pro,False,1,238681,2026-05-20T16:20:50.184602,1150,8066,0.00751767
A_P_run1,A,P,1,phase1_freeresponse,M1,Q,anthropic/claude-opus-4.7,False,1,15795,2026-05-20T16:32:35.031119,662,833,0.024135
A_P_run1,A,P,1,phase1_freeresponse,M2,S,openai/gpt-5.5,False,1,14636,2026-05-20T16:32:50.832357,402,534,0.01803
A_P_run1,A,P,1,phase1_freeresponse,M3,E,google/gemini-3.1-pro-preview,False,1,19833,2026-05-20T16:33:05.477616,411,1795,0.022362
A_P_run1,A,P,1,phase1_freeresponse,M4,H,deepseek/deepseek-v4-pro,False,1,24543,2026-05-20T16:33:25.318371,396,1142,0.0011658
A_P_run1,A,P,1,phase1_freeresponse,M5,C,moonshotai/kimi-k2.6,False,1,35934,2026-05-20T16:33:49.868861,403,1359,0.0050371
A_P_run1,A,P,1,phase3_constructs,M1,Q,anthropic/claude-opus-4.7,False,1,5398,2026-05-20T16:34:25.817038,1005,218,0.010475000000000002
A_P_run1,A,P,1,phase3_constructs,M2,S,openai/gpt-5.5,False,1,14700,2026-05-20T16:34:31.224640,645,593,0.021015
A_P_run1,A,P,1,phase3_constructs,M3,E,google/gemini-3.1-pro-preview,False,1,17997,2026-05-20T16:34:45.935926,654,1996,0.02526
A_P_run1,A,P,1,phase3_constructs,M4,H,deepseek/deepseek-v4-pro,False,1,71967,2026-05-20T16:35:03.943301,648,2000,0.00202188
A_P_run1,A,P,1,phase3_constructs,M5,C,moonshotai/kimi-k2.5,True,5,165889,2026-05-20T16:36:15.923964,649,7577,0.014655900000000001
A_P_run1,A,P,1,phase4_ratings,M1,Q,anthropic/claude-opus-4.7,False,1,7713,2026-05-20T16:42:09.063523,1758,663,0.025365
A_P_run1,A,P,1,phase4_ratings,M2,S,openai/gpt-5.5,False,1,17395,2026-05-20T16:42:16.786167,1104,1461,0.049350000000000005
A_P_run1,A,P,1,phase4_ratings,M3,E,google/gemini-3.1-pro-preview,False,1,22073,2026-05-20T16:42:34.191219,1153,2496,0.032258
A_P_run1,A,P,1,phase4_ratings,M4,H,deepseek/deepseek-v4-pro,False,1,129009,2026-05-20T16:42:56.280301,1110,4435,0.0043413
A_P_run1,A,P,1,phase4_ratings,M5,C,moonshotai/kimi-k2.6,False,1,301883,2026-05-20T16:45:05.302935,1096,9791,0.03497067
B_N_run1,B,N,1,phase1_freeresponse,M1,neutral,anthropic/claude-opus-4.7,False,1,14343,2026-05-20T16:50:14.540607,700,662,0.020050000000000002
B_N_run1,B,N,1,phase1_freeresponse,M2,neutral,openai/gpt-5.5,False,1,22574,2026-05-20T16:50:28.890855,408,877,0.02835
B_N_run1,B,N,1,phase1_freeresponse,M3,neutral,google/gemini-3.1-pro-preview,False,1,20058,2026-05-20T16:50:51.471745,418,1821,0.022688
B_N_run1,B,N,1,phase1_freeresponse,M4,neutral,deepseek/deepseek-v4-pro,False,1,37824,2026-05-20T16:51:11.537592,408,1353,0.0013545900000000001
B_N_run1,B,N,1,phase1_freeresponse,M5,neutral,moonshotai/kimi-k2.6,False,1,63082,2026-05-20T16:51:49.367663,414,2229,0.00808143
B_N_run1,B,N,1,phase3_constructs,M1,neutral,anthropic/claude-opus-4.7,False,1,5636,2026-05-20T16:52:52.464573,1044,160,0.00922
B_N_run1,B,N,1,phase3_constructs,M2,neutral,openai/gpt-5.5,False,1,15706,2026-05-20T16:52:58.109957,661,600,0.021305
B_N_run1,B,N,1,phase3_constructs,M3,neutral,google/gemini-3.1-pro-preview,False,1,17662,2026-05-20T16:53:13.826519,660,1996,0.025272000000000003
B_N_run1,B,N,1,phase3_constructs,M4,neutral,deepseek/deepseek-v4-pro,False,1,204251,2026-05-20T16:53:31.499291,657,5800,0.005331795
B_N_run1,B,N,1,phase3_constructs,M5,neutral,moonshotai/kimi-k2.5,True,4,194148,2026-05-20T16:56:55.760301,666,7641,0.0147843
B_N_run1,B,N,1,phase4_ratings,M1,neutral,anthropic/claude-opus-4.7,False,1,8420,2026-05-20T17:05:42.913301,1833,783,0.02874
B_N_run1,B,N,1,phase4_ratings,M2,neutral,openai/gpt-5.5,False,1,34163,2026-05-20T17:05:51.350960,1157,2265,0.073735
B_N_run1,B,N,1,phase4_ratings,M3,neutral,google/gemini-3.1-pro-preview,False,1,17741,2026-05-20T17:06:25.526212,1200,2496,0.032352
B_N_run1,B,N,1,phase4_ratings,M4,neutral,deepseek/deepseek-v4-flash,True,4,65630,2026-05-20T17:06:43.284810,1145,6063,0.0014863519999999998
B_N_run1,B,N,1,phase4_ratings,M5,neutral,moonshotai/kimi-k2.5,True,5,169636,2026-05-20T17:11:27.271858,1155,10274,0.0199826
B_N_run2,B,N,2,phase1_freeresponse,M1,neutral,anthropic/claude-opus-4.7,False,1,18012,2026-05-20T17:37:39.712033,700,728,0.0217
B_N_run2,B,N,2,phase1_freeresponse,M2,neutral,openai/gpt-5.5,False,1,18298,2026-05-20T17:37:57.735543,408,783,0.02553
B_N_run2,B,N,2,phase1_freeresponse,M3,neutral,google/gemini-3.1-pro-preview,False,1,17913,2026-05-20T17:38:16.040060,418,1789,0.022304
B_N_run2,B,N,2,phase1_freeresponse,M4,neutral,deepseek/deepseek-v4-pro,False,1,84616,2026-05-20T17:38:33.963863,408,888,0.0009500400000000001
B_N_run2,B,N,2,phase1_freeresponse,M5,neutral,moonshotai/kimi-k2.6,False,1,13391,2026-05-20T17:39:58.587787,414,3000,0.01077222
B_N_run2,B,N,2,phase3_constructs,M1,neutral,anthropic/claude-opus-4.7,False,1,4217,2026-05-20T17:40:11.992660,1097,224,0.011085000000000001
B_N_run2,B,N,2,phase3_constructs,M2,neutral,openai/gpt-5.5,False,1,23473,2026-05-20T17:40:16.219772,687,1115,0.036885
B_N_run2,B,N,2,phase3_constructs,M3,neutral,google/gemini-3.1-pro-preview,False,1,20537,2026-05-20T17:40:39.699918,695,1996,0.025342
B_N_run2,B,N,2,phase3_constructs,M4,neutral,deepseek/deepseek-v4-pro,False,2,3553,2026-05-20T17:41:00.251146,681,82,0.000367575
B_N_run2,B,N,2,phase3_constructs,M5,neutral,moonshotai/kimi-k2.5,True,4,188130,2026-05-20T17:42:22.068137,694,6939,0.0134617
B_N_run2,B,N,2,phase4_ratings,M1,neutral,anthropic/claude-opus-4.7,False,1,6305,2026-05-20T17:49:52.108653,1682,543,0.021985
B_N_run2,B,N,2,phase4_ratings,M2,neutral,openai/gpt-5.5,False,1,20222,2026-05-20T17:49:58.451660,1040,1489,0.049870000000000005
B_N_run2,B,N,2,phase4_ratings,M3,neutral,google/gemini-3.1-pro-preview,False,1,22433,2026-05-20T17:50:18.693463,1083,2496,0.032118
B_N_run2,B,N,2,phase4_ratings,M4,neutral,deepseek/deepseek-v4-pro,False,1,11141,2026-05-20T17:50:41.142793,1041,450,0.0008443350000000001
B_N_run2,B,N,2,phase4_ratings,M5,neutral,moonshotai/kimi-k2.6,False,1,263197,2026-05-20T17:50:52.295069,1038,8230,0.02948044
B_N_run3,B,N,3,phase1_freeresponse,M1,neutral,anthropic/claude-opus-4.7,False,1,16738,2026-05-20T00:14:34.488387,700,727,0.021675
B_N_run3,B,N,3,phase1_freeresponse,M2,neutral,openai/gpt-5.5,False,1,17010,2026-05-20T00:14:51.236988,408,604,0.02016
B_N_run3,B,N,3,phase1_freeresponse,M3,neutral,google/gemini-3.1-pro-preview,False,1,9205,2026-05-20T00:15:08.258853,418,796,0.010388
B_N_run3,B,N,3,phase1_freeresponse,M4,neutral,deepseek/deepseek-v4-pro,False,1,26377,2026-05-20T00:15:17.475605,408,800,0.00087348
B_N_run3,B,N,3,phase3_constructs,M1,neutral,anthropic/claude-opus-4.7,False,1,4679,2026-05-20T00:26:39.904556,633,173,0.00749
B_N_run3,B,N,3,phase3_constructs,M2,neutral,openai/gpt-5.5,False,1,4694,2026-05-20T00:26:44.594806,402,243,0.009300000000000001
B_N_run3,B,N,3,phase3_constructs,M3,neutral,google/gemini-3.1-pro-preview,False,1,17175,2026-05-20T00:26:49.296704,397,596,0.007946
B_N_run3,B,N,3,phase3_constructs,M4,neutral,deepseek/deepseek-v4-flash,True,6,12590,2026-05-20T00:27:06.479766,392,2310,0.000561344
B_N_run3,B,N,3,phase3_constructs,M5,neutral,moonshotai/kimi-k2.5,True,6,20645,2026-05-20T00:28:26.811928,405,679,0.0014521
B_N_run3,B,N,3,phase4_ratings,M1,neutral,anthropic/claude-opus-4.7,False,1,4421,2026-05-20T00:30:18.796491,1061,327,0.01348
B_N_run3,B,N,3,phase4_ratings,M2,neutral,openai/gpt-5.4,True,4,3404,2026-05-20T00:30:23.226977,650,273,0.005719999999999999
B_N_run3,B,N,3,phase4_ratings,M3,neutral,google/gemini-3.1-pro-preview,False,1,4797,2026-05-20T00:31:02.165757,668,396,0.006088
B_N_run3,B,N,3,phase4_ratings,M4,neutral,deepseek/deepseek-v4-pro,False,2,86813,2026-05-20T00:31:06.974934,639,3044,0.002926245
B_P_run1,B,P,1,phase1_freeresponse,M1,S,anthropic/claude-opus-4.7,False,1,17132,2026-05-20T17:19:54.949145,776,741,0.022405
B_P_run1,B,P,1,phase1_freeresponse,M2,E,openai/gpt-5.5,False,1,19876,2026-05-20T17:20:12.089027,457,851,0.027815
B_P_run1,B,P,1,phase1_freeresponse,M3,H,google/gemini-3.1-pro-preview,False,1,20598,2026-05-20T17:20:31.971706,465,1698,0.021306000000000002
B_P_run1,B,P,1,phase1_freeresponse,M4,C,deepseek/deepseek-v4-pro,False,1,33112,2026-05-20T17:20:52.579594,452,981,0.00105009
B_P_run1,B,P,1,phase1_freeresponse,M5,Q,moonshotai/kimi-k2.6,False,2,165506,2026-05-20T17:21:25.698867,464,2858,0.01031314
B_P_run1,B,P,1,phase3_constructs,M1,S,anthropic/claude-opus-4.7,False,1,6314,2026-05-20T17:25:01.507531,1191,226,0.011605
B_P_run1,B,P,1,phase3_constructs,M2,E,openai/gpt-5.5,False,1,14277,2026-05-20T17:25:07.831840,751,596,0.021635
B_P_run1,B,P,1,phase3_constructs,M3,H,google/gemini-3.1-pro-preview,False,1,21165,2026-05-20T17:25:22.117887,748,1996,0.025448000000000002
B_P_run1,B,P,1,phase3_constructs,M4,C,deepseek/deepseek-v4-pro,False,1,50162,2026-05-20T17:25:43.293677,743,1444,0.001579485
B_P_run1,B,P,1,phase3_constructs,M5,Q,moonshotai/kimi-k2.5,True,4,154306,2026-05-20T17:26:33.465556,758,7870,0.015256200000000001
B_P_run1,B,P,1,phase4_ratings,M1,S,anthropic/claude-opus-4.7,False,1,8921,2026-05-20T17:31:02.981227,2135,843,0.03175
B_P_run1,B,P,1,phase4_ratings,M2,E,openai/gpt-5.5,False,1,33545,2026-05-20T17:31:11.916220,1334,2257,0.07438
B_P_run1,B,P,1,phase4_ratings,M3,H,google/gemini-3.1-pro-preview,False,1,16967,2026-05-20T17:31:45.473721,1372,2496,0.032696
B_P_run1,B,P,1,phase4_ratings,M4,C,deepseek/deepseek-v4-pro,False,1,93448,2026-05-20T17:32:02.495350,1318,3204,0.00336081
B_P_run2,B,P,2,phase1_freeresponse,M1,S,anthropic/claude-opus-4.7,False,1,16708,2026-05-20T00:16:34.947428,776,735,0.022255000000000004
B_P_run2,B,P,2,phase1_freeresponse,M2,E,openai/gpt-5.5,False,1,15805,2026-05-20T00:16:51.665495,457,633,0.021275
B_P_run2,B,P,2,phase1_freeresponse,M3,H,google/gemini-3.1-pro-preview,False,1,8735,2026-05-20T00:17:07.480419,465,796,0.010482
B_P_run2,B,P,2,phase1_freeresponse,M4,C,deepseek/deepseek-v4-pro,False,1,27205,2026-05-20T00:17:16.225980,452,1423,0.00143463
B_P_run2,B,P,2,phase3_constructs,M1,S,anthropic/claude-opus-4.7,False,1,3719,2026-05-20T00:34:16.988203,717,169,0.007810000000000001
B_P_run2,B,P,2,phase3_constructs,M2,E,openai/gpt-5.5,False,1,15664,2026-05-20T00:34:20.716982,466,589,0.02
B_P_run2,B,P,2,phase3_constructs,M3,H,google/gemini-3.1-pro-preview,False,1,6351,2026-05-20T00:34:36.391237,463,596,0.008078
B_P_run2,B,P,2,phase3_constructs,M4,C,deepseek/deepseek-v4-flash,True,6,10355,2026-05-20T00:34:42.752666,458,392,0.000139104
B_P_run2,B,P,2,phase3_constructs,M3,H,google/gemini-3.1-pro-preview,False,1,6781,2026-05-20T00:41:48.373282,463,596,0.008078
B_P_run2,B,P,2,phase3_constructs,M5,Q,moonshotai/kimi-k2.5,True,5,117935,2026-05-20T00:41:55.168880,472,4300,0.0083588
B_P_run2,B,P,2,phase4_ratings,M1,S,anthropic/claude-opus-4.7,False,1,5135,2026-05-20T00:44:57.731089,1294,400,0.016470000000000002
B_P_run2,B,P,2,phase4_ratings,M2,E,openai/gpt-5.4,True,4,4136,2026-05-20T00:45:02.884089,801,363,0.007447500000000001
B_P_run2,B,P,2,phase4_ratings,M3,H,google/gemini-3.1-pro-preview,False,1,5761,2026-05-20T00:45:42.604385,833,396,0.006418
B_P_run2,B,P,2,phase4_ratings,M4,C,deepseek/deepseek-v4-pro,False,1,127362,2026-05-20T00:45:48.381975,787,4383,0.004155555
B_P_run2,B,P,2,phase4_ratings,M5,Q,moonshotai/kimi-k2.5,True,6,79783,2026-05-20T00:47:55.756636,794,6366,0.012413
B_P_run3,B,P,3,phase1_freeresponse,M1,S,anthropic/claude-opus-4.7,False,1,18202,2026-05-20T00:50:06.332457,776,755,0.022755
B_P_run3,B,P,3,phase1_freeresponse,M2,E,openai/gpt-5.5,False,1,18395,2026-05-20T00:50:24.548866,457,800,0.026285
B_P_run3,B,P,3,phase1_freeresponse,M3,H,google/gemini-3.1-pro-preview,False,1,8760,2026-05-20T00:50:42.958246,465,796,0.010482
B_P_run3,B,P,3,phase1_freeresponse,M4,C,deepseek/deepseek-v4-pro,False,2,13010,2026-05-20T00:50:51.730337,452,800,0.00089262
B_P_run3,B,P,3,phase1_freeresponse,M5,Q,moonshotai/kimi-k2.5,True,5,34118,2026-05-20T00:51:14.588349,464,1163,0.0023953000000000004
B_P_run3,B,P,3,phase3_constructs,M1,S,anthropic/claude-opus-4.7,False,1,8514,2026-05-20T00:52:45.086012,995,426,0.015625
B_P_run3,B,P,3,phase3_constructs,M2,E,openai/gpt-5.5,False,1,10196,2026-05-20T00:52:53.611383,621,600,0.021105000000000002
B_P_run3,B,P,3,phase3_constructs,M3,H,google/gemini-3.1-pro-preview,False,1,6840,2026-05-20T00:53:03.825942,622,596,0.008396
B_P_run3,B,P,3,phase3_constructs,M4,C,deepseek/deepseek-v4-pro,False,2,72516,2026-05-20T00:53:10.678532,611,4705,0.004359135
B_P_run3,B,P,3,phase3_constructs,M5,Q,moonshotai/kimi-k2.5,True,5,144310,2026-05-20T00:54:34.635836,628,9476,0.0182556
B_P_run3,B,P,3,phase4_ratings,M1,S,anthropic/claude-opus-4.7,False,1,5053,2026-05-20T00:58:30.615244,1644,400,0.01822
B_P_run3,B,P,3,phase4_ratings,M2,E,openai/gpt-5.4,True,4,3874,2026-05-20T00:58:35.689633,997,400,0.0084925
B_P_run3,B,P,3,phase4_ratings,M3,H,google/gemini-3.1-pro-preview,False,1,4697,2026-05-20T00:59:09.163047,1029,396,0.00681
B_P_run3,B,P,3,phase4_ratings,M4,C,deepseek/deepseek-v4-pro,False,1,17072,2026-05-20T00:59:13.878822,982,805,0.00112752
C_N_run1,C,N,1,phase1_freeresponse,M1,neutral,anthropic/claude-opus-4.7,False,1,17559,2026-05-20T01:01:04.359547,819,786,0.023745000000000002
C_N_run1,C,N,1,phase1_freeresponse,M2,neutral,openai/gpt-5.5,False,2,18302,2026-05-20T01:01:21.935769,501,729,0.024375
C_N_run1,C,N,1,phase1_freeresponse,M3,neutral,google/gemini-3.1-pro-preview,False,1,9225,2026-05-20T01:01:43.752435,522,796,0.010596
C_N_run1,C,N,1,phase1_freeresponse,M4,neutral,deepseek/deepseek-v4-pro,False,1,10136,2026-05-20T01:01:52.991811,502,379,0.0005481
C_N_run1,C,N,1,phase3_constructs,M1,neutral,anthropic/claude-opus-4.7,False,1,4178,2026-05-20T01:04:54.431267,825,209,0.00935
C_N_run1,C,N,1,phase3_constructs,M2,neutral,openai/gpt-5.5,False,1,9621,2026-05-20T01:04:58.626081,526,600,0.020630000000000003
C_N_run1,C,N,1,phase3_constructs,M3,neutral,google/gemini-3.1-pro-preview,False,1,7027,2026-05-20T01:05:08.260519,529,596,0.00821
C_N_run1,C,N,1,phase3_constructs,M4,neutral,deepseek/deepseek-v4-pro,False,1,14151,2026-05-20T01:05:15.309077,518,689,0.00082476
C_N_run1,C,N,1,phase4_ratings,M1,neutral,anthropic/claude-opus-4.7,False,1,4800,2026-05-20T01:06:45.652419,1308,400,0.01654
C_N_run1,C,N,1,phase4_ratings,M2,neutral,openai/gpt-5.4,True,4,4772,2026-05-20T01:06:50.476382,842,363,0.00755
C_N_run1,C,N,1,phase4_ratings,M3,neutral,google/gemini-3.1-pro-preview,False,1,5278,2026-05-20T01:07:27.883453,873,396,0.006498
C_N_run1,C,N,1,phase4_ratings,M4,neutral,deepseek/deepseek-v4-pro,False,2,6499,2026-05-20T01:07:33.178998,826,360,0.0006725100000000001
C_N_run1,C,N,1,phase4_ratings,M5,neutral,moonshotai/kimi-k2.5,True,4,91343,2026-05-20T01:07:46.496856,823,6026,0.0117786
C_P_run1,C,P,1,phase1_freeresponse,M1,E,anthropic/claude-opus-4.7,False,1,17319,2026-05-20T01:09:47.577165,907,739,0.023010000000000003
C_P_run1,C,P,1,phase1_freeresponse,M2,H,openai/gpt-5.5,False,1,15235,2026-05-20T01:10:04.913040,552,558,0.019500000000000003
C_P_run1,C,P,1,phase1_freeresponse,M3,C,google/gemini-3.1-pro-preview,False,1,9869,2026-05-20T01:10:20.162962,568,796,0.010688
C_P_run1,C,P,1,phase1_freeresponse,M4,Q,deepseek/deepseek-v4-pro,False,1,22460,2026-05-20T01:10:30.050292,550,473,0.00065076
C_P_run1,C,P,1,phase1_freeresponse,M5,S,moonshotai/kimi-k2.5,True,5,29821,2026-05-20T01:10:52.525676,555,1186,0.0024754
C_P_run1,C,P,1,phase3_constructs,M1,E,anthropic/claude-opus-4.7,False,1,5602,2026-05-20T01:13:34.729935,1235,281,0.0132
C_P_run1,C,P,1,phase3_constructs,M2,H,openai/gpt-5.5,False,1,14594,2026-05-20T01:13:40.345760,760,596,0.02168
C_P_run1,C,P,1,phase3_constructs,M3,C,google/gemini-3.1-pro-preview,False,1,7000,2026-05-20T01:13:54.958728,761,596,0.008674000000000001
C_P_run1,C,P,1,phase3_constructs,M4,Q,deepseek/deepseek-v4-pro,False,1,252753,2026-05-20T01:14:01.976105,751,7656,0.006987405
C_P_run1,C,P,1,phase4_ratings,M1,E,anthropic/claude-opus-4.7,False,1,4907,2026-05-20T01:20:32.953914,1650,400,0.018250000000000002
C_P_run1,C,P,1,phase4_ratings,M2,H,openai/gpt-5.4,True,4,4498,2026-05-20T01:20:37.879734,1013,400,0.0085325
C_P_run1,C,P,1,phase4_ratings,M3,C,google/gemini-3.1-pro-preview,False,1,4126,2026-05-20T01:21:14.277303,1046,396,0.006844
C_P_run1,C,P,1,phase4_ratings,M4,Q,deepseek/deepseek-v4-pro,False,1,94576,2026-05-20T01:21:18.422733,1002,4658,0.00448833
